Year,Yield_MT_Ha,Rainfall_mm,Rainfall_LongRains_mm,Rainfall_ShortRains_mm,Temp_Avg_C,Temp_Max_C,Temp_Min_C,Solar_Radiation,Humidity_Pct,Soil_Wetness,NDVI_LongRains,NDVI_ShortRains,Soil_pH,Soil_Nitrogen,Clay_Pct,Organic_Carbon,Dominant_Variety,Variety_Code,Yield_Potential_Mid,Maturity_Months,Area_Ha,Production_MT,Source
2005,2.1,3.41,14.64,7.13,19.66,33.93,9.95,22.14,68.54,0.53,0.2555,0.184,6.050000000000001,3.245,40.0,36.85,H614D,1,7.0,6.5,75000.0,157500.0,Estimated
2006,2.25,4.79,17.77,23.090000000000003,19.5,32.79,12.33,21.41,71.99,0.56,0.2456,0.2754,6.050000000000001,3.245,40.0,36.85,H614D,1,7.0,6.5,78000.0,175500.0,Estimated
2007,2.45,4.51,18.04,8.530000000000001,18.51,29.93,9.88,21.32,76.05,0.68,0.2932,0.1968,6.050000000000001,3.245,40.0,36.85,H614D,1,7.0,6.5,80000.0,196000.0,Estimated
2008,2.3,4.87,19.94,15.48,18.68,30.88,10.11,22.06,74.22,0.64,0.251,0.2579,6.050000000000001,3.245,40.0,36.85,H614D,1,7.0,6.5,82000.0,188600.0,Estimated
2009,2.15,3.91,17.17,14.0,19.48,32.71,10.88,22.11,70.61,0.56,0.2328,0.23,6.050000000000001,3.245,40.0,36.85,H614D,1,7.0,6.5,85000.0,182750.0,Estimated
2010,2.2,5.43,25.85,10.87,18.67,29.84,10.73,21.15,77.62,0.72,0.2561,0.2422,6.050000000000001,3.245,40.0,36.85,H614D,1,7.0,6.5,87000.0,191400.00000000003,Estimated
2011,2.6,5.78,21.9,22.21,18.68,30.82,10.56,21.65,75.58,0.7,0.2585,0.2642,6.050000000000001,3.245,40.0,36.85,H614D,1,7.0,6.5,89000.0,231400.0,Estimated
2012,2.821691,5.9,25.03,20.53,18.3,29.98,8.25,21.68,77.29,0.77,0.2598,0.2619,6.050000000000001,3.245,40.0,36.85,H614D,1,7.0,6.5,91310.0,257648.60521,County Report
2013,4.09463,5.04,26.59,12.429999999999998,18.5,28.5,10.81,21.48,78.46,0.77,0.2724,0.2534,6.050000000000001,3.245,40.0,36.85,DH04,2,8.0,7.0,88790.0,363562.1977,County Report
2014,3.933895,4.27,14.53,15.72,18.94,30.11,10.78,21.77,75.68,0.63,0.2659,0.2437,6.050000000000001,3.245,40.0,36.85,DH04,2,8.0,7.0,96654.0,380226.68733,County Report
2015,3.892475,5.66,22.49,21.84,19.24,32.6,9.63,22.19,73.42,0.69,0.264,0.2562,6.050000000000001,3.245,40.0,36.85,DH04,2,8.0,7.0,104078.0,405121.01305,County Report
2016,3.945773,4.98,23.41,7.07,18.91,30.41,11.22,21.68,77.03,0.74,0.2394,0.2178,6.050000000000001,3.245,40.0,36.85,DH04,2,8.0,7.0,102753.0,405440.013069,County Report
2017,3.307996,6.13,17.65,14.36,19.03,31.01,11.4,22.3,74.86,0.7,0.2699,0.2447,6.050000000000001,3.245,40.0,36.85,DK8031,3,9.0,6.5,101279.0,335030.526884,County Report
2018,4.258628,7.35,40.900000000000006,10.74,18.43,29.0,9.7,20.98,79.11,0.81,0.2821,0.22,6.050000000000001,3.245,40.0,36.85,DK8031,3,9.0,6.5,95209.0,405459.713252,County Report
2019,3.241035,7.31,16.35,27.74,19.25,32.09,11.74,21.7,76.44,0.75,0.2303,0.29,6.050000000000001,3.245,40.0,36.85,DK8031,3,9.0,6.5,100081.0,324366.023835,County Report
2020,3.065103,9.45,35.43,17.66,18.42,26.81,10.28,21.01,82.38,0.91,0.269,0.2675,6.050000000000001,3.245,40.0,36.85,DK8031,3,9.0,6.5,106999.0,327962.95589700004,County Report
2021,3.682928,4.91,19.83,10.59,18.72,28.32,10.9,21.3,77.4,0.71,0.2371,0.2222,6.050000000000001,3.245,40.0,36.85,DK8031,3,9.0,6.5,104645.0,385400.00056,County Report
2022,3.5,5.49,15.31,9.66,18.88,31.16,10.74,21.33,75.41,0.68,0.2518,0.231,6.050000000000001,3.245,40.0,36.85,DK8031,3,9.0,6.5,102820.0,359870.0,County Report
2023,4.041092,6.9,31.57,19.83,19.15,30.8,11.11,21.8,76.37,0.77,0.2484,0.2666,6.050000000000001,3.245,40.0,36.85,H6213,4,8.0,7.0,117923.0,476537.691916,County Report
2024,,8.05,29.01,17.35,19.01,27.82,11.3,20.61,80.65,0.86,0.2722,0.2356,6.050000000000001,3.245,40.0,36.85,H6213,4,8.0,7.0,,,Pending
