Year,Humidity_Pct,Rainfall_mm,Soil_Wetness,Solar_Radiation,Temp_Avg_C,Temp_Max_C,Temp_Min_C,Rainfall_LongRains_mm,Rainfall_ShortRains_mm
2005,68.54,3.41,0.53,22.14,19.66,33.93,9.95,14.64,7.13
2006,71.99,4.79,0.56,21.41,19.5,32.79,12.33,17.77,23.090000000000003
2007,76.05,4.51,0.68,21.32,18.51,29.93,9.88,18.04,8.530000000000001
2008,74.22,4.87,0.64,22.06,18.68,30.88,10.11,19.94,15.48
2009,70.61,3.91,0.56,22.11,19.48,32.71,10.88,17.17,14.0
2010,77.62,5.43,0.72,21.15,18.67,29.84,10.73,25.849999999999998,10.870000000000001
2011,75.58,5.78,0.7,21.65,18.68,30.82,10.56,21.9,22.21
2012,77.29,5.9,0.77,21.68,18.3,29.98,8.25,25.03,20.53
2013,78.46,5.04,0.77,21.48,18.5,28.5,10.81,26.59,12.429999999999998
2014,75.68,4.27,0.63,21.77,18.94,30.11,10.78,14.53,15.72
2015,73.42,5.66,0.69,22.19,19.24,32.6,9.63,22.490000000000002,21.84
2016,77.03,4.98,0.74,21.68,18.91,30.41,11.22,23.41,7.07
2017,74.86,6.13,0.7,22.3,19.03,31.01,11.4,17.65,14.36
2018,79.11,7.35,0.81,20.98,18.43,29.0,9.7,40.900000000000006,10.74
2019,76.44,7.31,0.75,21.7,19.25,32.09,11.74,16.35,27.740000000000002
2020,82.38,9.45,0.91,21.01,18.42,26.81,10.28,35.43,17.66
2021,77.4,4.91,0.71,21.3,18.72,28.32,10.9,19.83,10.59
2022,75.41,5.49,0.68,21.33,18.88,31.16,10.74,15.31,9.66
2023,76.37,6.9,0.77,21.8,19.15,30.8,11.11,31.57,19.830000000000002
2024,80.65,8.05,0.86,20.61,19.01,27.82,11.3,29.01,17.35
