-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2005 through 12/31/2024 in LST
Location: Latitude  0.5204   Longitude 35.2699 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1809.96 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
GWETROOT              MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2005,23.94,25.67,24.43,21.91,19.67,19.77,19.1,20.61,21.26,23.05,22.45,24.02,22.14
ALLSKY_SFC_SW_DWN,2006,23.5,24.16,23.08,22.13,21.46,20.35,18.59,20.09,23.49,22.55,18.3,19.47,21.41
ALLSKY_SFC_SW_DWN,2007,23.0,23.09,25.03,21.96,22.42,16.98,17.29,19.25,20.31,22.87,21.55,22.15,21.32
ALLSKY_SFC_SW_DWN,2008,23.1,24.32,22.8,23.68,22.56,19.87,17.79,20.78,22.37,20.98,22.32,24.25,22.06
ALLSKY_SFC_SW_DWN,2009,23.19,24.66,25.35,22.31,20.6,22.42,20.02,21.47,22.8,20.4,22.14,20.26,22.11
ALLSKY_SFC_SW_DWN,2010,22.96,21.49,22.22,22.35,20.46,19.57,17.63,18.91,21.93,21.59,21.96,22.77,21.15
ALLSKY_SFC_SW_DWN,2011,23.96,25.52,24.2,23.52,21.5,18.84,19.56,18.62,21.12,21.92,18.9,22.41,21.65
ALLSKY_SFC_SW_DWN,2012,26.1,25.49,25.36,19.63,21.46,18.52,17.35,19.47,22.31,22.31,22.0,20.32,21.68
ALLSKY_SFC_SW_DWN,2013,23.0,24.68,22.69,21.24,22.48,18.29,19.64,19.59,22.33,22.84,20.72,20.47,21.48
ALLSKY_SFC_SW_DWN,2014,24.48,22.03,23.35,23.11,21.11,20.05,18.6,19.48,22.94,22.36,21.29,22.42,21.77
